WAREHOUSE;SLOT;PALLET_COUNT
CML;AA26Z;4
CML;AA32Z;4
CML;AA44Z;1
CML;AA48Z;1
CML;AB08Z;5
CML;AB52Z;2
CML;AC09Z;6
CML;AC13Z;12
CML;AC55Z;6
CML;BB26Z;8
CML;JI22Z;16
CML;HB07Z;7
CML;DA09Z;2
CML;DA42Z;4
CML;DB02Z;1
CML;DB09Z;4
CML;DB13Z;1
CML;DB25Z;1
CML;DB28Z;4
CML;DB37Z;5
CML;DH66Z;9
CML;DM05Z;4
CML;DM06Z;1
CML;DM17Z;15
CML;DP20Z;4
CML;DP21Z;3
CML;DR08Z;2
CML;FA63Z;3
CML;FA65Z;3
CML;FA71Z;7
CML;FA75Z;5
CML;FT07Z;4
CML;FT13Z;9
CML;GC11Z;3
CML;GC14Z;20
CML;GD06Z;3
CML;GD12Z;2
CML;GE09Z;8
CML;GF02Z;1
CML;GG02Z;16
CML;GG04Z;9
CML;GH01Z;6
CML;GJ07Z;24
CML;GJ08Z;4
CML;GJ09Z;24
CML;GL10Z;4
CML;GL15Z;2
CML;GM01Z;6
CML;GM05Z;20
CML;GM10Z;5
CML;GN12Z;1
CML;GN14Z;24
CML;GP01Z;1
CML;GP08Z;8
CML;GR24Z;3
CML;GS01Z;8
CML;GS03Z;7
CML;GS11Z;12
CML;GS13Z;15
CML;GS22Z;6
CML;GT02Z;12
CML;GV15Z;2
CML;GW02Z;9
CML;GW15Z;13
CML;GW18Z;4
CML;GX10Z;4
CML;HA06Z;5
CML;HA74Z;24
CML;DG81Z;3
CML;DI25Z;2
CML;DK02Z;2
CML;JI28Z;16
CML;HP01Z;13
CML;HS16Z;13
CML;HS20Z;23
CML;JB30Z;13
CML;JD16Z;3
CML;JD33Z;4
CML;JD41Z;10
CML;JE13Z;4
CML;JE19Z;6
CML;JE31Z;4
CML;JG12Z;9
CML;JG16Z;7
CML;JG18Z;10
CML;JK24Z;11
CML;JM03Z;2
CML;JP08Z;10
CML;JR08Z;18
CML;KA11Z;9
CML;KA20Z;8
CML;KA21Z;17
CML;KA27Z;20
CML;KA40Z;9
CML;KA48Z;8
CML;KB30Z;2
CML;KB04Z;1
CML;KB40Z;3
CML;KB53Z;16
CML;KB58Z;4
CML;KC05Z;16
CML;KC39Z;14
CML;KE49Z;3
CML;KE54Z;8
CML;KE56Z;3
CML;KE68Z;2
CML;KE73Z;4
CML;KE77Z;8
CML;KE80Z;6
CML;KE81Z;8
CML;KE83Z;1
CML;KL05Z;2
CML;KL07Z;2
CML;KL12Z;2
CML;KL20Z;2
CML;KL21Z;3
CML;GT15Z;28
CML;JM10Z;24
CML;DI03Z;9
CML;DI05Z;11
CML;DI13Z;1
CML;DK10Z;1
CML;DK15Z;1
CML;DK17Z;1
CML;KL25Z;2
CML;HK10Z;24
CML;JI45Z;2
CML;JI46Z;16
CML;HB52Z;12
CML;KA37Z;18
CML;DG36Z;4
CML;DG45Z;1
CML;HB32Z;4
CML;GY07Z;6
CML;GZ18Z;2
CML;HA20Z;8
CML;HA24Z;9
CML;GR05Z;7
CML;KC21Z;14
CML;GQ08Z;4
CML;JI47Z;24
CML;JI48Z;3
CML;KB13Z;15
CML;JM18Z;16
CML;JM22Z;24
CML;KE22Z;8
CML;KE35Z;8
CML;KE46Z;8
CML;DA36Z;2
CML;DH61Z;5
CML;DH63Z;1
CML;DH17Z;1
CML;DH38Z;1
CML;DH42Z;11
CML;KE08Z;8
CML;KE11Z;7
CML;KA57Z;14
CML;JP24Z;14
CML;JP26Z;16
CML;JP28Z;16
CML;HC09Z;7
CML;AC31Z;1
CML;AC37Z;11
CML;GV02Z;9
CML;GA11Z;5
CML;KA15Z;6
CML;KA18Z;1
CML;BB02Z;4
CML;GJ18Z;6
CML;GJ19Z;9
CML;HC43Z;8
CML;HC65Z;3
CML;AB11Z;3
CML;AB27Z;2
CML;HB10Z;1
CML;HB16Z;2
CML;HB22Z;1
CML;GH07Z;20
CML;DM23Z;14
CML;DM27Z;7
CML;DP13Z;2
CML;DP14Z;1
CML;DP17Z;2
CML;GA06Z;11
CML;GA07Z;17
CML;DB39Z;4
CML;DB42Z;2
CML;DB44Z;3
CML;DB45Z;2
CML;DG05Z;4
CML;DG13Z;4
CML;DG26Z;3
CML;KC55Z;16
CML;JO05Z;7
CML;AA24Z;3
CML;AA38Z;3
CML;AB01Z;1
CML;AB04Z;1
CML;AB50Z;3
CML;AB62Z;5
CML;AC01Z;7
CML;AC07Z;2
CML;AC57Z;2
CML;AC61Z;2
CML;BB06Z;8
CML;HB04Z;7
CML;DA08Z;2
CML;DA13Z;2
CML;DB07Z;4
CML;DB32Z;2
CML;DB33Z;3
CML;DH68Z;5
CML;DM07Z;11
CML;DM10Z;1
CML;DP28Z;1
CML;DR01Z;3
CML;GB05Z;16
CML;GC02Z;17
CML;GC04Z;14
CML;GC05Z;3
CML;GC07Z;2
CML;GC12Z;20
CML;GD05Z;10
CML;GE05Z;15
CML;GE12Z;9
CML;GF03Z;8
CML;GF15Z;11
CML;GG07Z;13
CML;GH11Z;5
CML;GJ05Z;23
CML;GJ15Z;24
CML;GK11Z;19
CML;GK12Z;9
CML;GL04Z;3
CML;GM22Z;3
CML;GN04Z;13
CML;GN06Z;7
CML;GN11Z;4
CML;GN16Z;17
CML;GP05Z;1
CML;GQ16Z;1
CML;GS16Z;5
CML;GS21Z;8
CML;GT12Z;9
CML;GU10Z;6
CML;GU11Z;11
CML;GU19Z;8
CML;HA54Z;4
CML;DG72Z;1
CML;DG79Z;2
CML;DG82Z;4
CML;DH09Z;4
CML;DH10Z;4
CML;DK03Z;12
CML;DK07Z;7
CML;DK09Z;4
CML;HK16Z;2
CML;HK18Z;14
CML;HP23Z;18
CML;HS13Z;1
CML;JB06Z;8
CML;JB44Z;5
CML;JD27Z;3
CML;JD35Z;5
CML;JD37Z;4
CML;JD46Z;12
CML;JE05Z;4
